Touch,Time,X,Y,Target X,Target Y,Level,User: chum
11,0,0.0000,0.0000
11,1,0.4426,-1.8525
11,2,0.1639,-1.8033
11,3,-0.0656,-1.7377
11,4,-0.4426,-1.5738
11,5,-0.8689,-1.4098
11,6,-1.3934,-1.2459
11,7,-1.8361,-1.0820
11,8,-2.3770,-0.9016
11,9,-2.6557,-0.7869
11,10,-2.9016,-0.7049
11,11,-3.1311,-0.6230
11,12,-3.3279,-0.5574
11,13,-3.4918,-0.4918
11,14,-3.6066,-0.4426
11,15,-3.6885,-0.3770
11,16,-3.7869,-0.3443
11,17,-3.8689,-0.2787
11,18,-3.9508,-0.2459
11,19,-4.0492,-0.1639
11,20,-4.1148,-0.1475
11,21,-4.1148,-0.1311
11,22,-4.1311,-0.1311
11,23,-4.1475,-0.1311
11,24,-4.1475,-0.1148
11,25,-4.1148,-0.1639
11,26,-4.0164,-0.3115
11,27,-3.7541,-0.6066
11,28,-3.2951,-1.0164
11,29,-2.7377,-1.4262
11,30,-2.1639,-1.8197
11,31,-1.3443,-2.2951
11,32,-1.0820,-2.3934
11,33,-1.0492,-2.4262
11,34,-1.0328,-2.4262
11,35,-1.0000,-2.4426
11,36,-0.8852,-2.5246
11,37,-0.6557,-2.6557
11,38,-0.4098,-2.8197
11,39,-0.2787,-2.8852
11,40,-0.2295,-2.9180
11,41,-0.2131,-2.9344
11,42,-0.1967,-2.9508
11,43,-0.1803,-2.9836
11,44,-0.1311,-3.0656
11,45,-0.0984,-3.0820
11,46,-0.0820,-3.0820
11,47,-0.0656,-3.0820
11,48,-0.0492,-3.1148
11,49,-0.0164,-3.1803
11,50,-0.0164,-3.2295
11,51,0.0000,-3.2459
11,52,0.0000,-3.3115
11,53,0.0164,-3.4262
11,54,0.0328,-3.5574
11,55,0.0492,-3.6393
11,56,0.0492,-3.6721
11,57,0.0492,-3.6885
11,58,0.0656,-3.7213
11,59,0.0656,-3.7541
11,60,0.0820,-3.7541
11,61,0.0820,-3.7705
11,62,0.0984,-3.8361
11,63,0.1148,-3.9344
11,64,0.1475,-4.0000
11,65,0.1475,-4.0328
11,66,0.1475,-4.0492
11,67,0.1311,-4.0492
11,68,0.1148,-4.0164
11,69,0.0492,-3.9836
11,70,0.0000,-3.8525
11,71,-0.1967,-3.6066
11,72,-0.5410,-3.2459
11,73,-0.8852,-2.9016
11,74,-1.2295,-2.5738
11,75,-1.5082,-2.2295
11,76,-1.7541,-1.9672
11,77,-1.9836,-1.7377
